study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	0.0	hr		0.0	26.7857142857142	6.025788446297833e-05	2.130437936186375e-05		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	0.5	hr		0.0015265330730621213	1477.67857142857	0.001797693553145524	0.0006355806509622693		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	1.0	hr		0.002520788166701258	1848.21428571428	0.0016370058612442465	0.0005787689726639664		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	1.5	hr		0.002289799609593177	1593.75	0.0012955445159540445	0.0004580441562800742		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	2.0	hr		0.002279756628849338	1232.14285714285	0.0004921060564476579	0.00017398576478855457		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	3.0	hr		0.002088939994716587	1187.5	0.000582492883142127	0.00020594233383135058		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	4.0	hr		0.002008596148765949	977.678571428571	0.00019081663413276625	6.74638679792357e-05		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	5.0	hr		0.0018479084568646736	950.892857142857	0.0002912464415710635	0.0001029711669156754		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	6.0	hr		0.001426103265623824	1058.03571428571	0.0009540831706638179	0.00033731933989617293		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	8.0	hr		0.0011850717277719102	571.428571428571	0.0001004298074382972	3.550729893643947e-05		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	12.0	hr		0.0007532235557872303	227.678571428571	0.00024103153785191375	8.5217517447455e-05		mole/meter^3	ng/ml
Devineni2015c		normal_renal	8.0	CAN200	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN200_normal_renal	24.0	hr		0.0003113324030587198	500.0	0.0008134814402502126	0.0002876091213851633		mole/meter^3	ng/ml
